Infec_mean,Infec_lb,Infec_ub,date,state,cases,deaths,population
334.360542526384,293.427522074283,368.272918472265,2020-04-25,RO,328,7,1118307
366.115314352004,322.621337005239,402.439653944352,2020-04-26,RO,364,10,1145000
400.350171835895,355.539956537088,438.631677075324,2020-04-27,RO,393,10,1155458
437.258827909039,391.179578818106,477.430849320062,2020-04-28,RO,413,11,1155458
477.049747658249,428.09454307421,519.524234007181,2020-04-29,RO,433,15,1180673
519.947582153502,469.665159107424,564.75679403209,2020-04-30,RO,502,16,1328511
566.194423459718,515.058333742191,613.24788116243,2020-05-01,RO,585,18,1374945
616.05097910615,563.102152826587,665.228824457509,2020-05-02,RO,654,23,1417341
669.798368172185,616.47856528449,720.949282599404,2020-05-03,RO,705,24,1428288
727.738179938144,673.392124711404,780.525343104577,2020-05-04,RO,756,25,1481520
790.197512277064,734.064183962761,842.432843841297,2020-05-05,RO,861,29,1481520
857.525483311112,799.929610954246,908.568293994305,2020-05-06,RO,943,33,1532257
930.100882226993,869.909283116046,979.443110107742,2020-05-07,RO,1098,37,1542701
1008.3299015395,944.347553274275,1058.89665695614,2020-05-08,RO,1222,39,1547873
1092.64805717467,1031.193241182,1146.19303127726,2020-05-09,RO,1263,41,1547873
1183.5259053961,1124.70056893433,1236.48821173358,2020-05-10,RO,1302,43,1547873
1281.4688783951,1217.9467023362,1337.44043986934,2020-05-11,RO,1398,47,1547873
1387.02119550928,1314.16559056241,1445.94474049648,2020-05-12,RO,1460,50,1626677
1500.76712699639,1426.05795660111,1567.88804965579,2020-05-13,RO,1612,50,1626677
1623.33503910271,1543.0372518465,1694.10148764757,2020-05-14,RO,1686,56,1626677
1755.39968997097,1662.5418368819,1840.01353338901,2020-05-15,RO,1794,62,1633172
1897.6861302151,1797.29727350773,1996.40031808161,2020-05-16,RO,1918,69,1633172
2050.97238824569,1945.6679086111,2165.5589610869,2020-05-17,RO,1963,74,1636936
2216.09354047604,2105.22856992979,2352.95790334693,2020-05-18,RO,2043,83,1636936
2393.94548386225,2273.59397132431,2553.09042659948,2020-05-19,RO,2413,88,1664027
2585.48851288141,2450.90749001686,2769.29298825411,2020-05-20,RO,2499,90,1675883
2791.75169207786,2633.52833565886,3003.15581030564,2020-05-21,RO,2499,90,1675883
3013.83712019875,2822.99067547362,3256.07486545955,2020-05-22,RO,2774,106,1692206
