date,state,cases,population_x,Infec,population_y,Rtdata,Rtmod
2020-04-02,MS,53,2809394,51.046747007808655,,,
2020-04-03,MS,60,2809394,55.05716475335975,,,
2020-04-04,MS,62,2809394,59.2413923847115,,,
2020-04-05,MS,65,2809394,63.58458600614178,,,
2020-04-06,MS,66,2809394,68.09660652487797,,,
2020-04-07,MS,80,2809394,72.7879416384325,,,
2020-04-08,MS,85,2809394,77.66543187882183,,,
2020-04-09,MS,89,2809394,82.74288607490621,,,
2020-04-10,MS,97,2809394,88.03751595644822,,,
2020-04-11,MS,100,2809394,93.56301053618056,,,
2020-04-12,MS,101,2809394,99.32733201915433,,,
2020-04-13,MS,113,2809394,105.33339780257576,,,
2020-04-14,MS,115,2809394,111.59177728567093,,,
2020-04-15,MS,121,2809394,118.11492315932077,,,
2020-04-16,MS,131,2809394,124.9132181196636,,,
2020-04-17,MS,143,2809394,131.99757765903956,,,
2020-04-18,MS,161,2809394,139.379797598437,,,
2020-04-19,MS,168,2809394,147.072379466817,,,
2020-04-20,MS,171,2809394,155.08788704822803,,,
2020-04-21,MS,173,2809394,163.43896572316228,,,
2020-04-22,MS,175,2809394,172.1412936955458,,,
2020-04-23,MS,186,2809394,181.2102138444857,,,
2020-04-24,MS,213,2809394,190.66149071955815,,,
2020-04-25,MS,217,2809394,200.51123057015926,,,
2020-04-26,MS,234,2809394,210.77520440491986,895603.0,1.3974362804816702,1.1763697575641163
2020-04-27,MS,238,2809394,221.46945796520188,895603.0,1.1833296479426902,1.1523190937598011
2020-04-28,MS,240,2809394,232.61395033477814,895603.0,0.18662412045051588,1.1322146676337046
2020-04-29,MS,249,2809394,244.22778243820485,895603.0,0.4782759815464517,1.1151734667891398
2020-04-30,MS,255,2809394,256.32919833676664,895603.0,0.5275043587251909,1.1006972133127586
2020-05-01,MS,261,2809394,268.9404187589825,895603.0,0.7016153386638306,1.08847342942795
2020-05-02,MS,266,2809394,282.07859548512334,895603.0,0.7088728226574095,1.07812476823611
2020-05-03,MS,272,2809394,295.7710556536948,895603.0,0.4814088749897314,1.0693740724259768
2020-05-04,MS,274,2809394,310.0378732663298,895603.0,0.3702799010650786,1.062016714832251
2020-05-05,MS,283,2809394,324.90315168912025,895603.0,0.5737956661900905,1.0558704688874696
2020-05-06,MS,288,2809394,340.39301887040784,895603.0,0.7289158508576442,1.0507627070037604
2020-05-07,MS,311,2809394,356.5334075661632,895603.0,0.6905060986205505,1.0465361692479915
2020-05-08,MS,326,2809394,373.35157629239166,895603.0,0.7194567810104415,1.0430525592413649
2020-05-09,MS,346,2809394,390.8761093251338,895603.0,0.44911951684974,1.040191841774297
2020-05-10,MS,362,2809394,409.136711653827,895603.0,0.6228875301126957,1.0378504630730798
2020-05-11,MS,385,2809394,428.16422571278616,895603.0,0.8104923826282431,1.0359777176403504
2020-05-12,MS,405,2809394,447.9909362604021,895603.0,1.1797565537697858,1.0344306799018257
2020-05-13,MS,430,2809394,468.6504121126789,895603.0,1.3938269325396504,1.03316448025904
2020-05-14,MS,452,2809394,490.1775059180396,895603.0,1.1580050799028814,1.0321315947425276
2020-05-15,MS,479,2809394,512.6106668008341,895603.0,1.0804895002460166,1.0312885009511197
2020-05-16,MS,508,2809394,535.9871583686415,895603.0,1.263671709069402,1.0305992862240867
2020-05-17,MS,570,2809394,560.3458551914978,895603.0,1.5284311399701216,1.0301084919260568
2020-05-18,MS,613,2809394,585.7273034550942,895603.0,1.9558578329212604,1.0296758900905476
2020-05-19,MS,642,2809394,612.1733865154911,895603.0,4.174355785577862,1.029314177618763
2020-05-20,MS,693,2809394,639.729038286255,,,
2020-05-21,MS,746,2809394,668.4425418408763,,,
2020-05-22,MS,805,2809394,698.359953266968,,,
